listing_id,borough,neighborhood,address,unit,zip,rent,net_effective_rent,gross_over_3000,no_fee,beds,baths,sqft,building_type,status,available_date,price_changed_at,latitude,longitude,bbl,bin,nearest_station,nearest_lines,nearest_dist_mi,nearest_walk_min,all_nearby_lines,hpd_total,hpd_open,hpd_open_class_c,hpd_rent_impairing_open,ecb_total,ecb_active,ecb_penalty_total,ecb_balance_due,dob_total,dob_open,source_url
5088574,manhattan,Lincoln Square,248 West 64th Street,2G,10023,2700,2363,false,false,0,1,,RENTAL,ACTIVE,2026-06-30,2026-07-01T19:52:29.000Z,40.774276,-73.98772,1011540206,1030336,66 St-Lincoln Center,1,0.278,6,1|2|3|A|C|B|D,20,5,0,1,34,3,33930,0,37,0,https://streeteasy.com/building/244-west-64-street-new_york/2g
5089569,manhattan,Yorkville,311 East 85th Street,3A,10028,3000,0,false,false,0,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T19:35:05.000Z,40.777071,-73.951456,1015480006,1085238,86 St,Q,0.046,1,Q|4|5|6,6,0,0,0,3,0,7200,0,0,0,https://streeteasy.com/building/311-east-85-street-new_york/3a
5088968,manhattan,Washington Heights,643 West 171st Street,2F,10032,2600,0,false,false,1,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T14:42:06.000Z,40.843818,-73.940074,1021420061,1063483,168 St-Washington Hts,1|A|C,0.134,3,1|A|C,198,9,6,0,2,1,5625,3125,1,1,https://streeteasy.com/building/643-west-171-street-new_york/2f
5087096,manhattan,East Harlem,407 East 117th Street,1B,10035,2595,0,false,false,0,1,,RENTAL,ACTIVE,2026-08-15,2026-07-01T05:35:03.000Z,40.796606,-73.934239,1017110006,1090547,116 St,6,0.403,8,6|4|5,6,0,0,0,27,0,52187,0,9,0,https://streeteasy.com/building/407-east-117-street-new_york/1b
5089442,manhattan,Lenox Hill,410 East 78th Street,1FE,10075,2850,0,false,false,0,1,,RENTAL,ACTIVE,2026-08-18,2026-07-01T18:47:34.000Z,40.771201,-73.952612,1014720043,1046003,72 St,Q,0.333,7,Q|6,23,0,0,0,0,0,0,0,3,2,https://streeteasy.com/building/410-east-78-street-new_york/1fe
5088940,manhattan,Upper West Side,2785 Broadway,2D,10025,2850,0,false,false,0,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T14:25:18.000Z,40.80267,-73.968261,1018920046,1057284,Cathedral Pkwy (110 St),1,0.123,2,1,182,9,6,1,54,7,31867,1562,61,18,https://streeteasy.com/building/2785-broadway-new_york/2d
5080343,manhattan,East Harlem,127 East 101st Street,3Z,10029,2475,0,false,false,1,1,,RENTAL,ACTIVE,2026-07-03,2026-06-22T19:58:01.000Z,40.789453,-73.949046,1016290011,1051839,103 St,6,0.085,2,6|Q,30,8,3,1,2,0,0,0,7,1,https://streeteasy.com/building/127-east-101-street-new_york/3z
5087072,manhattan,East Harlem,305 East 109th Street,4,10029,2050,0,false,false,0,1,,RENTAL,ACTIVE,2026-06-29,2026-07-01T16:44:49.000Z,40.792526,-73.940374,1016810005,1052829,110 St,6,0.256,5,6,66,4,0,0,0,0,0,0,4,1,https://streeteasy.com/building/305-east-109-street-new_york/4
5089168,manhattan,Hamilton Heights,617 West 143rd Street,5E,10031,2750,0,false,false,1,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T16:40:50.000Z,40.825738,-73.952254,1020900021,1062359,145 St,1,0.103,2,1|A|C|B|D,330,22,6,1,46,4,56156,25951,33,5,https://streeteasy.com/building/617-west-143-street-new_york/5e
5089098,manhattan,Central Harlem,132 West 134th Street,4,10030,2700,2492,false,false,0,1,,MIXED_USE,ACTIVE,2026-08-01,2026-07-01T16:07:58.000Z,40.81405,-73.9434,1019180054,1000000,135 St,2|3,0.117,2,2|3|C|B,0,0,0,0,231,52,383009,60943,96,94,https://streeteasy.com/building/132-west-134-street-new_york/4
5089068,manhattan,Inwood,4778 Broadway,2E,10034,3245,2496,true,false,0,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T15:50:29.000Z,40.86558,-73.92604,1022337502,1091659,Dyckman St,A,0.051,1,A|1,0,0,0,0,6,0,3605,0,0,0,https://streeteasy.com/building/tryon-north/2e
5088964,manhattan,Inwood,600 West 204th Street,41,10034,2500,0,false,false,1,1,,RENTAL,ACTIVE,2026-07-15,2026-07-01T14:49:11.000Z,40.865197,-73.922285,1022250024,1064826,Inwood-207 St,A,0.167,3,A|1,47,33,11,5,1,1,250,0,1,0,https://streeteasy.com/building/600-west-204-street-new_york/41
5088922,manhattan,Manhattanville,545 West 125th Street,66,10027,2995,0,false,false,1,1,550,RENTAL,ACTIVE,2026-07-01,2026-07-01T14:10:42.000Z,40.814901,-73.95725,1019820005,1059691,125 St,1,0.064,1,1|A|C|B|D,2413,442,191,42,85,7,107722,-22437,71,6,https://streeteasy.com/building/543-west-125-street-new_york/66
5088513,manhattan,East Harlem,118 East 102nd Street,3A,10029,2200,0,false,false,0,1,,RENTAL,ACTIVE,2026-08-01,2026-07-01T15:39:25.000Z,40.7898,-73.948901,1016290063,1051859,103 St,6,0.064,1,6|Q,25,7,3,2,3,0,1000,0,7,3,https://streeteasy.com/building/118-east-102-street-new_york/3a
5088908,manhattan,South Harlem,200 West 123rd Street,1A,10027,2950,0,false,false,1,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T13:55:13.000Z,40.807707,-73.949723,1019280036,1058567,125 St,2|3,0.208,4,2|3|A|C|B|D,114,17,1,1,2,0,1000,0,3,0,https://streeteasy.com/building/2058-adam-c-powell-blvd-new_york/1a
5088897,manhattan,Hell's Kitchen,523 West 49th Street,1B,10019,2799,0,false,false,0,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T13:40:53.000Z,40.764726,-73.993365,1010780019,1027030,50 St,C|E,0.392,8,C|E|1|2|3|7|A|N|Q|R|W|S,11,2,0,0,2,0,800,0,6,0,https://streeteasy.com/building/523-west-49-street-new_york/1b
5077293,manhattan,Murray Hill,5 Tudor City Place,234,10017,2850,0,false,false,0,1,300,CO_OP,ACTIVE,2026-06-18,2026-06-18T18:07:27.000Z,40.747988,-73.970871,1013330023,1038647,Grand Central-42 St,4|5|6|7|S,0.3,6,4|5|6|7|S|E|M,101,49,7,2,69,0,39755,-260,108,5,https://streeteasy.com/building/5-tudor-city-place-new_york/234
5088795,manhattan,Washington Heights,735 West 172nd Street,A34,10032,2050,0,false,false,1,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T12:33:52.000Z,40.845505,-73.941982,1021390329,1063439,175 St,A,0.107,2,A|1|C,612,240,59,16,6,0,3705,625,6,0,https://streeteasy.com/building/735-west-172-street-new_york/a34
